Global Rank	,Company	,Sales ($billion)	,Profits ($billion)	,Assets ($billion)	,Market Value ($billion)
14,Volkswagen Group,254,28.6,408.2,94.4
25,Allianz,140.3,6.8,915.8,66.4
36,Daimler,150.8,8,211.9,64.1
51,Siemens,100.6,5.7,134.4,91.9
55,BMW Group,98.8,6.6,165.5,60
69,BASF,103.9,6.4,83.5,90.1
81,Munich Re,88,4.2,340.6,34.9
99,E.ON,174.2,2.9,184.9,32.5
120,Bayer,52.5,3.2,65.6,84.9
177,RWE Group,67,1.7,111.5,22.9
190,Deutsche Post,73.2,2.2,45,29.4
211,SAP,20.9,3.6,35.5,103.9
235,Continental,43.2,2.5,35.2,25.3
271,Linde,20.2,1.6,43.5,35.2
301,Deutsche Bank,55,0.4,2652.6,41.3
317,Henkel,21.8,2,25,37.3
329,Fresenius,24.8,1.2,40.5,22.1
403,Deutsche Lufthansa,39.7,1.3,37.5,9.7
413,Talanx,34.9,0.8,171.7,7.9
433,Deutsche Telekom,76.9,-6.9,136.1,48.4
451,Merck,13.8,0.7,28.6,32
462,Porsche Automobil Holding,5.2,10.3,41.1,24.5
475,EnBW-Energie Baden,24.7,0.6,48.5,10.8
570,Adidas,19.6,0.7,14.7,21.8
595,HeidelbergCement,18,0.4,37,13.9
654,Commerzbank,25.5,0,838.3,9.2
654,ThyssenKrupp Group,51.6,-6,47.4,12.4
684,Deutsche Boerse,2.8,0.8,285.5,12.5
690,Metro Group,88,0,45.8,9.3
930,Beirsdorf,8,0.6,7.2,20.8
996,Südzucker,9.3,0.5,10.9,8.6
1037,Lanxess,11.7,0.7,8.7,6.8
1056,W&W-Wüstenrot,8.8,0.3,101.8,1.9
1126,K+S,5.1,0.9,8.8,9.4
1132,Brenntag,12.5,0.4,7.5,7.7
1259,TUI,23.6,-0.1,16.8,2.8
1320,Aurubis,17.7,0.5,6.3,3.1
1334,Infineon Technologies,5,0.5,7.2,9.3
1338,GEA Group,7.4,0.4,8.5,6.6
1410,Bilfinger,11.2,0.4,8.8,4.9
1441,Celesio,28.6,-0.2,10.5,3.2
1572,Salzgitter,13.4,-0.1,11.7,2.5
1668,Aareal Bank,1.5,0.1,60.3,1.4
1738,Nürnberger,4.7,0.1,28.9,0.9
1759,IKB Deutsche,2.6,-0.7,41.8,0.4
1782,Hugo Boss,3,0.4,2.1,7.7
1790,ProSiebenSat1 Media,3,0.4,7.1,7.9
1875,BayWa,13.5,0.1,5.9,1.7
1880,DVB Bank,1.5,0.2,31.4,1.5
1921,Fraport,3.1,0.3,12.7,5.2